title,date,country,tags/0,tags/1,tags/2,tags/3,image,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15
Eve with Cain and Abel,1520,Italian,Abel,Cain,Eve,,https://images.metmuseum.org/CRDImages/ep/original/ep38.178.jpg,,,,,,,,,,,,
Saints and Scenes from the Life of the Virgin,1315,Italian,Adoration of the Shepherds,Adoration of the Magi,Annunciation,Nativity,https://images.metmuseum.org/CRDImages/ep/original/DP313620.jpg,,,,,,,,,,,,
The Adoration of the Shepherds,1450,Italian,Adoration of the Shepherds,Holy Family,Jesus,,https://images.metmuseum.org/CRDImages/ep/original/DP213831.jpg,,,,,,,,,,,,
The Adoration of the Shepherds,1506,Italian,Adoration of the Shepherds,Men,Christ,Virgin Mary,https://images.metmuseum.org/CRDImages/ep/original/DT7237.jpg,,,,,,,,,,,,
The Adoration of the Shepherds,1512,Italian,Adoration of the Shepherds,Saint Joseph,Virgin Mary,Jesus,https://images.metmuseum.org/CRDImages/ep/original/DT5284.jpg,Shepherds,,,,,,,,,,,
The Adoration of the Shepherds with Saint Catherine of Alexandria,1599,Italian,Adoration of the Shepherds,Saint Catherine,Jesus,Shepherds,https://images.metmuseum.org/CRDImages/ep/original/DT6545.jpg,,,,,,,,,,,,
The Meeting of Alexander the Great and Diogenes,1605,Flemish,Alexander The Great,Diogenes,Boys,Horses,https://images.metmuseum.org/CRDImages/ep/original/ep71.1.bw.R.jpg,,,,,,,,,,,,
The Trinity Adored by All Saints,1395,Spanish,Altars,Apostles,Annunciation,Crucifixion,https://images.metmuseum.org/CRDImages/ep/original/DP200558.jpg,Saints,,,,,,,,,,,
Madonna and Child with Saints,1454,Italian,Altars,Madonna and Child,Saint John the Baptist,Saints,https://images.metmuseum.org/CRDImages/ep/original/DP169609.jpg,,,,,,,,,,,,
Madonna and Child Enthroned,1270,Italian,Angels,Madonna and Child,,,https://images.metmuseum.org/CRDImages/ep/original/DP243041.jpg,,,,,,,,,,,,
Madonna and Child Enthroned with Angels,1275,Italian,Angels,Madonna and Child,,,https://images.metmuseum.org/CRDImages/ep/original/DT242200.jpg,,,,,,,,,,,,
Two Angels,1300,Italian,Angels,,,,https://images.metmuseum.org/CRDImages/ep/original/DT11327.jpg,,,,,,,,,,,,
Madonna and Child Enthroned with Saints Peter and Paul and Angels,1341,Italian,Angels,Madonna and Child,Saint Paul,Saint Peter,https://images.metmuseum.org/CRDImages/ep/original/ep32.100.100.bw.R.jpg,,,,,,,,,,,,
Madonna and Child with Saints and Angels,1345,Italian,Angels,Madonna and Child,Saint Francis,Saint John the Baptist,https://images.metmuseum.org/CRDImages/ep/original/DP367960.jpg,,,,,,,,,,,,
Head of Christ,1350,Italian,Angels,Christ,,,https://images.metmuseum.org/CRDImages/ep/original/DT8704.jpg,,,,,,,,,,,,
Saint Mary Magdalen Holding a Crucifix; (reverse) The Flagellation,1395,Italian,Angels,Christ,Saints,,https://images.metmuseum.org/CRDImages/ep/original/DP296527.jpg,,,,,,,,,,,,
The Life of Christ,1400,Italian,Angels,Christ,Holy Family,Cross,https://images.metmuseum.org/CRDImages/ep/original/DP228761.jpg,,,,,,,,,,,,
Madonna and Child with Angels,1408,Italian,Angels,Madonna and Child,,,https://images.metmuseum.org/CRDImages/ep/original/DP254091.jpg,,,,,,,,,,,,
The Nativity,1433,Italian,Angels,Christ,Virgin Mary,Nativity,https://images.metmuseum.org/CRDImages/ep/original/DT5285.jpg,Saints,,,,,,,,,,,
Madonna and Child with Angels,1445,Italian,Angels,Madonna and Child,,,https://images.metmuseum.org/CRDImages/ep/original/DT7229.jpg,,,,,,,,,,,,
Madonna and Child with Angels,1450,Italian,Angels,Madonna and Child,,,https://images.metmuseum.org/CRDImages/ep/original/ep64.288.bw.R.jpg,,,,,,,,,,,,
Madonna and Child with Angels,1459,Italian,Angels,Madonna and Child,,,https://images.metmuseum.org/CRDImages/ep/original/DT7223.jpg,,,,,,,,,,,,
Madonna and Child with the Infant Saint John the Baptist and Angels,1460,Italian,Angels,Madonna and Child,Saint John the Baptist,,https://images.metmuseum.org/CRDImages/ep/original/ep32.100.79.bw.R.jpg,,,,,,,,,,,,
Madonna and Child with Two Angels,1464,Italian,Angels,Madonna and Child,,,https://images.metmuseum.org/CRDImages/ep/original/EP256.jpg,,,,,,,,,,,,
"Madonna and Child with the Dead Christ, Saints Agnes and Catherine of Alexandria, and Two Angels",1465,Italian,Angels,Madonna and Child,Saint Catherine,Saints,https://images.metmuseum.org/CRDImages/ep/original/DP149941.jpg,,,,,,,,,,,,
The Man of Sorrows with Two Angels,1465,Italian,Angels,Madonna and Child,Mary Magdalene,Saint Jerome,https://images.metmuseum.org/CRDImages/ep/original/DT5277.jpg,,,,,,,,,,,,
Madonna and Child Enthroned with Saints and Angels,1466,Italian,Angels,Madonna and Child,Saints,,https://images.metmuseum.org/CRDImages/ep/original/DT7233.jpg,,,,,,,,,,,,
Saint Sebastian,1466,Italian,Angels,Saints,,,https://images.metmuseum.org/CRDImages/ep/original/ep48.78.bw.R.jpg,,,,,,,,,,,,
